url,title,description,keywords,scraped_time,content,website_category,site,site_id
https://udn.com/news/story/7934/8618948?trl3?from=udn_ch2_menu_v2_main_index,台灣最夯博物館排行榜出爐！林家花園奪冠，「國外推薦必去博物館」僅第七 | 旅遊 | 聯合新聞網,台灣最熱門博物館出爐！根據交通部觀光署最新統計，2024年全台參觀人次最多的博物館由新北市「林本源園邸（林家花園）」奪冠，全年吸引超過797萬人次造訪，穩坐人氣王寶座。緊追在後的是台北「中正紀念堂」與基隆「國立海洋科技博物館」，分別以404萬與326萬人次位居第二、第三。而外國遊客來台必訪的「國立故宮博物院」，則僅排名第七，顯示本土旅遊熱潮仍是推動博物館參觀人潮的重要動力。,,2025-03-21 14:59:32,台灣最熱門博物館出爐！根據交通部觀光署最新統計，2024年全台參觀人次最多的博物館由新北市「林本源園邸（林家花園）」奪冠，全年吸引超過797萬人次造訪，穩坐人氣王寶座。緊追在後的是台北「中正紀念堂」與基隆「國立海洋科技博物館」，分別以404萬與326萬人次位居第二、第三。而外國遊客來台必訪的「國立故宮博物院」，則僅排名第七，顯示本土旅遊熱潮仍是推動博物館參觀人潮的重要動力。圖／新北市政府提供從統計數據來看，2024年全台參觀人次最多的前十大博物館依序為：「林本源園邸」（797萬人）、「中正紀念堂」（404萬人）、「國立海洋科技博物館」（326萬人）、「國立台灣科學教育館」（298萬人）、「國立自然科學博物館」（256萬人）、「國立科學工藝博物館」（218萬人）、「國立故宮博物院」（187萬人）、「高雄市立美術館」（177萬人）、「國父紀念館」（128萬人）與「台北市立天文科學教育館」（115萬人）。圖／取自故宮博物館臉書粉絲專頁值得注意的是，以歷史文化為主題的博物館依然受到廣大遊客青睞，科學類與藝術類博物館則同樣表現不俗，顯示台灣的博物館類型多元且兼具教育與觀光價值。此外，受惠於國內旅遊熱潮與親子族群的支持，科學教育相關博物館的參觀人數持續攀升，成為假日熱門景點。隨著各館積極規劃創新展覽與互動體驗，未來各大博物館的參觀人次是否會持續成長，值得關注。圖／新北市政府提供編輯推薦南港LaLaport3／20開幕！ 哈利波特入店搶先預約 樓層規劃、人氣品牌、開幕美食優惠一次看一秒走進歐式庭園！ 林口三井Outlet春造景「莫內花園秘境」美不勝收 「莫內畫框、湖畔白色小船」粉嫩夢幻花園必拍,news,udn,1
https://udn.com/news/story/7321/8623176?list_ch2_index,火燒肛門、膠帶纏肚強食毒 員工討薪水竟慘遭老闆活活虐死 | 法律前線 | 社會 | 聯合新聞網,台中從事博弈的彭姓男子不滿饒姓前員工跟他討薪水，竟夥同邱姓友人囚禁對方2個多小時，用手銬銬四肢、膠帶纏肚再毒打一頓，甚至...,,2025-03-21 14:59:43,台中從事博弈的彭姓男子不滿饒姓前員工跟他討薪水，竟夥同邱姓友人囚禁對方2個多小時，用手銬銬四肢、膠帶纏肚再毒打一頓，甚至火燒肛門、耳朵凌虐並強行餵毒，手段令人髮指，最終活活虐死饒男，檢方偵結依凌虐致死等罪嫌起訴2人，全案將由國民法官審理。檢方查，彭從事博弈為負責人雇用饒姓男子（25歲）為員工，並在梧棲區承租1處招待所，同時無償提供給邱姓友人住。饒男去年11月23日為了向彭拿薪水，當晚10點多由女友開車載他到梧棲的招待所，未料雙方疑因財務等糾紛，彭、邱為了出氣將饒男拘禁、痛毆凌虐，甚至強行餵毒。檢方發現，饒男當時被脫掉褲子、內褲，連雙手雙腳都被銬住限制行動，彭、邱各自拿甩棍毆打他，還拿打火機燒他頭髮、耳朵及肛門，手段殘暴變態。此外，饒的手臂、肚子也遭膠帶纏繞，四肢也有被剪刀刺傷痕跡，左手指、小拇指均嚴重受傷，最後還遭強行餵食混合第三級毒品的咖啡包。饒被拘禁2個多小時，連續遭凌虐、毒打引發休克，彭見狀則聯絡友人到場將饒送梧棲童綜合醫院，但到院前饒就已經死亡。檢方比對證詞、相關查扣證物及相驗報告等，認定彭、邱犯嫌重大，偵結依毒品、3人以上攜帶凶器對被害人施以凌虐而私行拘禁致死等罪嫌起訴2人，全案依法將由國民法官審理。※ 珍愛生命，向毒品說 NO！毒品危害防制諮詢專線 0800-770-885急診示意圖，與本案無關。圖／報系資料照,news,udn,1
https://udn.com/news/story/7002/8623039?list_ch2_index,NBA／布朗尼17分創生涯新高 湖人大輪休慘輸公鹿29分 | NBA | 運動 | 聯合新聞網,湖人隊今天在包括詹姆斯（LeBron James）、唐西奇（Luka Doncic）、里夫斯（Austin Reaves...,,2025-03-21 14:59:54,湖人隊今天在包括詹姆斯（LeBron James）、唐西奇（Luka Doncic）、里夫斯（Austin Reaves）等6位主要輪替球員缺陣的情況下迎戰公鹿，儘管替補上陣的布朗尼（Bronny James）拿下生涯新高的17分，也是全隊唯三得分上雙的球員，但公鹿隊在安戴托昆波（Giannis Antetokounmpo）28分領軍下，團隊3人得分突破20大關，最終以118：89中斷湖人3連勝。近5天在主場4度出賽的湖人，除了詹姆斯因為鼠蹊部傷勢持續缺陣外，今天與公鹿之戰核心陣容幾乎全數輪休，讓來訪的公鹿在首節就大開殺戒取得34：19的領先。在缺乏得分點的情況下，湖人布朗尼也在本場比賽挺身而出，他在第一節末段替補上陣後就有3分進帳，第二節個人再拿下5分、1助攻，上半場打完已經拿下全隊最高的8分，也幫助湖人稍稍將落後差距縮小到11分。不過易籃後公鹿在安戴托昆波持續肆虐禁區、單節猛轟15分下，再將領先差距擴大到20分以上，也讓公鹿在第四節陸續將主力陣容換下，不過本場比賽手感發燙的布朗尼在第四節也把握住表現機會，先是接連助攻給肯奈特（Dalton Knecht）投進三分球，隨後自己也在外線開砲，還有一次拉竿上籃進球演出，個人得分也來到生涯新高的17分，但湖人仍是以29分差距吞下敗仗，終止3連勝。公鹿今天共3人得分在20分以上，其中以安戴托昆波28分最佳，崔蘭特（Gary Trent Jr.）與庫茲瑪（Kyle Kuzma）分別有23分和20分進帳，湖人布朗尼則是與肯奈特皆拿下全隊最高的17分，本季季中轉戰湖人的中鋒連恩（Alex Len）也有10分、9籃板演出，兩項數據皆創下加盟後新高。udn瘋運動有IG了！▪ 瘋運動的IG開張啦🔥🔥🔥大家追蹤起來！,news,udn,1
